ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
2915007,BA,Itaeté,nacional,2026-09-03,,,
2915106,BA,Itagi,nacional,2026-09-03,,,
2915205,BA,Itagibá,nacional,2026-09-03,,,
2915304,BA,Itagimirim,nacional,2026-09-03,,,
2915353,BA,Itaguaçu da Bahia,nacional,2026-09-03,,,
2915403,BA,Itaju do Colônia,nacional,2026-09-03,,,
2915502,BA,Itajuípe,nacional,2026-09-03,,,
2915601,BA,Itamaraju,nacional,2026-09-03,,,
2915700,BA,Itamari,nacional,2026-09-03,,,
2915809,BA,Itambé,nacional,2026-09-03,,,
2915908,BA,Itanagra,nacional,2026-09-03,,,
2916005,BA,Itanhém,nacional,2026-09-03,,,
2916104,BA,Itaparica,nacional,2026-09-03,,,
2916302,BA,Itapebi,nacional,2026-09-03,,,
2916401,BA,Itapetinga,nacional,2026-09-03,,,
2916500,BA,Itapicuru,nacional,2026-09-03,,,
2916609,BA,Itapitanga,nacional,2026-09-03,,,
2916203,BA,Itapé,nacional,2026-09-03,,,
2916708,BA,Itaquara,nacional,2026-09-03,,,
2916807,BA,Itarantim,nacional,2026-09-03,,,
2916856,BA,Itatim,nacional,2026-09-03,,,
2916906,BA,Itiruçu,nacional,2026-09-03,,,
2917003,BA,Itiúba,nacional,2026-09-03,,,
2917102,BA,Itororó,nacional,2026-09-03,,,
2917201,BA,Ituaçu,nacional,2026-09-03,,,
2917300,BA,Ituberá,nacional,2026-09-03,,,
2917334,BA,Iuiú,nacional,2026-09-03,,,
2917359,BA,Jaborandi,nacional,2026-09-03,,,
2917409,BA,Jacaraci,nacional,2026-09-03,,,
2917508,BA,Jacobina,nacional,2026-09-03,,,
2917607,BA,Jaguaquara,nacional,2026-09-03,,,
2917706,BA,Jaguarari,nacional,2026-09-03,,,
2917805,BA,Jaguaripe,nacional,2026-09-03,,,
2917904,BA,Jandaíra,nacional,2026-09-03,,,
2918001,BA,Jequié,nacional,2026-09-03,,,
2918100,BA,Jeremoabo,nacional,2026-09-03,,,
2918209,BA,Jiquiriçá,nacional,2026-09-03,,,
2918308,BA,Jitaúna,nacional,2026-09-03,,,
2918357,BA,João Dourado,nacional,2026-09-03,,,
2918407,BA,Juazeiro,nacional,2026-09-03,,,
2918456,BA,Jucuruçu,nacional,2026-09-03,,,
2918506,BA,Jussara,nacional,2026-09-03,,,
2918555,BA,Jussari,nacional,2026-09-03,,,
2918605,BA,Jussiape,nacional,2026-09-03,,,
2918704,BA,Lafaiete Coutinho,nacional,2026-09-03,,,
2918753,BA,Lagoa Real,nacional,2026-09-03,,,
2918803,BA,Laje,nacional,2026-09-03,,,
2919009,BA,Lajedinho,nacional,2026-09-03,,,
2919058,BA,Lajedo do Tabocal,nacional,2026-09-03,,,
2918902,BA,Lajedão,nacional,2026-09-03,,,
2919108,BA,Lamarão,nacional,2026-09-03,,,
2919157,BA,Lapão,nacional,2026-09-03,,,
2919207,BA,Lauro de Freitas,nacional,2026-09-03,,,
2919306,BA,Lençóis,nacional,2026-09-03,,,
2919405,BA,Licínio de Almeida,nacional,2026-09-03,,,
2919504,BA,Livramento de Nossa Senhora,nacional,2026-09-03,,,
2919553,BA,Luís Eduardo Magalhães,nacional,2026-09-03,,,
2919603,BA,Macajuba,nacional,2026-09-03,,,
2919702,BA,Macarani,nacional,2026-09-03,,,
2919801,BA,Macaúbas,nacional,2026-09-03,,,
2919900,BA,Macururé,nacional,2026-09-03,,,
2919926,BA,Madre de Deus,nacional,2026-09-03,,,
